987,562,0
1007,562,4
1027,562,19
1047,562,38
1067,562,58
1087,562,79
1107,562,100
1127,562,119
1147,562,137
1167,562,155
1187,562,172
1207,562,189
1227,562,204
1247,562,219
1267,562,233
1287,562,247
1307,562,259
1327,562,271
1347,562,283
1367,562,294
1387,562,304
1407,562,315
1427,562,324
1447,562,334
1467,562,342
1487,562,351
1507,562,359
1527,562,367
1547,562,374
1567,562,382
1587,562,389
1607,562,396
1627,562,403
1647,562,410
1667,562,418
1687,562,425
1707,562,432
1727,562,439
1747,562,446
1767,562,453
1787,562,460
1807,562,468
1827,562,475
1847,562,482
1867,562,489
1887,562,496
1907,562,504
1927,562,511
1947,562,518
1967,562,526
1987,562,533
2007,562,540
2027,562,547
2047,562,554
2067,562,562
2087,562,565
2107,562,561
2127,562,560
2147,562,564
2167,562,562
2187,562,562
4202,-1687,563
4222,-1687,551
4242,-1687,498
4262,-1687,423
4282,-1687,340
4302,-1687,254
4322,-1687,167
4342,-1687,82
4362,-1687,0
4382,-1687,-78
4402,-1687,-153
4422,-1687,-224
4442,-1687,-292
4462,-1687,-356
4482,-1687,-418
4502,-1687,-476
4522,-1687,-532
4542,-1687,-585
4562,-1687,-636
4582,-1687,-683
4602,-1687,-730
4622,-1687,-774
4642,-1687,-815
4662,-1687,-856
4682,-1687,-894
4702,-1687,-930
4722,-1687,-964
4742,-1687,-996
4762,-1687,-1027
4782,-1687,-1056
4802,-1687,-1084
4822,-1687,-1110
4842,-1687,-1136
4862,-1687,-1160
4882,-1687,-1183
4902,-1687,-1205
4922,-1687,-1225
4942,-1687,-1245
4962,-1687,-1264
4982,-1687,-1282
5002,-1687,-1299
5022,-1687,-1316
5042,-1687,-1331
5062,-1687,-1346
5082,-1687,-1360
5102,-1687,-1374
5122,-1687,-1387
5142,-1687,-1399
5162,-1687,-1410
5182,-1687,-1422
5202,-1687,-1432
5222,-1687,-1442
5242,-1687,-1452
5262,-1687,-1461
5282,-1687,-1470
5302,-1687,-1478
5322,-1687,-1486
5342,-1687,-1494
5362,-1687,-1501
5382,-1687,-1508
5402,-1687,-1516
5422,-1687,-1523
5442,-1687,-1530
5462,-1687,-1537
5482,-1687,-1544
5502,-1687,-1551
5522,-1687,-1559
5542,-1687,-1566
5562,-1687,-1573
5582,-1687,-1580
5602,-1687,-1588
5622,-1687,-1595
5642,-1687,-1602
5662,-1687,-1610
5682,-1687,-1617
5702,-1687,-1624
5722,-1687,-1631
5742,-1687,-1639
5762,-1687,-1646
5782,-1687,-1653
5802,-1687,-1660
5822,-1687,-1668
5842,-1687,-1675
5862,-1687,-1682
5882,-1687,-1689
5902,-1687,-1689
5922,-1687,-1685
5942,-1687,-1688
5962,-1687,-1689
5982,-1687,-1686
6002,-1687,-1688
6022,-1687,-1687
8026,-1656,-1687
8046,-1656,-1686
8066,-1656,-1682
8086,-1656,-1676
8106,-1656,-1670
8126,-1656,-1663
8146,-1656,-1655
8166,-1656,-1653
8186,-1656,-1657
8206,-1656,-1657
8226,-1656,-1654
8246,-1656,-1657
8266,-1656,-1656
